kod;kraj;region
10;AT;ATWSCHÓD
11;AT;ATWSCHÓD
12;AT;ATWSCHÓD
13;AT;ATWSCHÓD
14;AT;ATWSCHÓD
15;AT;ATWSCHÓD
16;AT;ATWSCHÓD
17;AT;ATWSCHÓD
18;AT;ATWSCHÓD
19;AT;ATWSCHÓD
20;AT;ATWSCHÓD
21;AT;ATWSCHÓD
22;AT;ATWSCHÓD
23;AT;ATWSCHÓD
24;AT;ATWSCHÓD
25;AT;ATWSCHÓD
26;AT;ATWSCHÓD
27;AT;ATWSCHÓD
28;AT;ATWSCHÓD
29;AT;ATWSCHÓD
30;AT;ATWSCHÓD
31;AT;ATWSCHÓD
32;AT;ATWSCHÓD
33;AT;ATWSCHÓD
34;AT;ATWSCHÓD
35;AT;ATWSCHÓD
36;AT;ATWSCHÓD
37;AT;ATWSCHÓD
38;AT;ATWSCHÓD
39;AT;ATWSCHÓD
40;AT;ATWSCHÓD
41;AT;ATWSCHÓD
42;AT;ATWSCHÓD
43;AT;ATWSCHÓD
44;AT;ATWSCHÓD
45;AT;ATWSCHÓD
46;AT;ATWSCHÓD
47;AT;ATWSCHÓD
48;AT;ATWSCHÓD
49;AT;ATWSCHÓD
50;AT;ATWSCHÓD
51;AT;ATWSCHÓD
52;AT;ATWSCHÓD
53;AT;ATWSCHÓD
54;AT;ATWSCHÓD
55;AT;ATWSCHÓD
56;AT;ATWSCHÓD
57;AT;ATWSCHÓD
58;AT;ATWSCHÓD
59;AT;ATWSCHÓD
60;AT;ATZACHÓD
61;AT;ATZACHÓD
62;AT;ATZACHÓD
63;AT;ATZACHÓD
64;AT;ATZACHÓD
65;AT;ATZACHÓD
66;AT;ATZACHÓD
67;AT;ATZACHÓD
68;AT;ATZACHÓD
69;AT;ATZACHÓD
70;AT;ATWSCHÓD
71;AT;ATWSCHÓD
72;AT;ATWSCHÓD
73;AT;ATWSCHÓD
74;AT;ATWSCHÓD
75;AT;ATWSCHÓD
76;AT;ATWSCHÓD
77;AT;ATWSCHÓD
78;AT;ATWSCHÓD
79;AT;ATWSCHÓD
80;AT;ATWSCHÓD
81;AT;ATWSCHÓD
82;AT;ATWSCHÓD
83;AT;ATWSCHÓD
84;AT;ATWSCHÓD
85;AT;ATWSCHÓD
86;AT;ATWSCHÓD
87;AT;ATWSCHÓD
88;AT;ATWSCHÓD
89;AT;ATWSCHÓD
90;AT;ATWSCHÓD
91;AT;ATWSCHÓD
92;AT;ATWSCHÓD
93;AT;ATWSCHÓD
94;AT;ATWSCHÓD
95;AT;ATWSCHÓD
96;AT;ATWSCHÓD
97;AT;ATWSCHÓD
98;AT;ATWSCHÓD
99;AT;ATWSCHÓD
;BE;BE
;BG;BG
;CH;CH
10;CZ;CZPÓŁNOC
11;CZ;CZPÓŁNOC
12;CZ;CZPÓŁNOC
13;CZ;CZPÓŁNOC
14;CZ;CZPÓŁNOC
15;CZ;CZPÓŁNOC
16;CZ;CZPÓŁNOC
17;CZ;CZPÓŁNOC
18;CZ;CZPÓŁNOC
19;CZ;CZPÓŁNOC
20;CZ;CZPÓŁNOC
21;CZ;CZPÓŁNOC
22;CZ;CZPÓŁNOC
23;CZ;CZPÓŁNOC
24;CZ;CZPÓŁNOC
25;CZ;CZPÓŁNOC
26;CZ;CZPÓŁNOC
27;CZ;CZPÓŁNOC
28;CZ;CZPÓŁNOC
29;CZ;CZPÓŁNOC
30;CZ;CZPÓŁNOC
31;CZ;CZPÓŁNOC
32;CZ;CZPÓŁNOC
33;CZ;CZPÓŁNOC
34;CZ;CZPÓŁNOC
35;CZ;CZPÓŁNOC
36;CZ;CZPÓŁNOC
37;CZ;CZPOŁUDNIE
38;CZ;CZPOŁUDNIE
39;CZ;CZPÓŁNOC
40;CZ;CZPÓŁNOC
41;CZ;CZPÓŁNOC
42;CZ;CZPÓŁNOC
43;CZ;CZPÓŁNOC
44;CZ;CZPÓŁNOC
45;CZ;CZPÓŁNOC
46;CZ;CZPÓŁNOC
47;CZ;CZPÓŁNOC
48;CZ;CZPÓŁNOC
49;CZ;CZPÓŁNOC
50;CZ;CZPÓŁNOC
51;CZ;CZPÓŁNOC
52;CZ;CZPÓŁNOC
53;CZ;CZPÓŁNOC
54;CZ;CZPÓŁNOC
55;CZ;CZPÓŁNOC
56;CZ;CZPÓŁNOC
57;CZ;CZPÓŁNOC
58;CZ;CZPÓŁNOC
59;CZ;CZPÓŁNOC
60;CZ;CZPÓŁNOC
61;CZ;CZPÓŁNOC
62;CZ;CZPÓŁNOC
63;CZ;CZPÓŁNOC
64;CZ;CZPÓŁNOC
65;CZ;CZPÓŁNOC
66;CZ;CZPOŁUDNIE
67;CZ;CZPOŁUDNIE
68;CZ;CZPOŁUDNIE
69;CZ;CZPOŁUDNIE
70;CZ;CZPÓŁNOC
71;CZ;CZPÓŁNOC
72;CZ;CZPÓŁNOC
73;CZ;CZPÓŁNOC
74;CZ;CZPÓŁNOC
75;CZ;CZPÓŁNOC
76;CZ;CZPOŁUDNIE
77;CZ;CZPOŁUDNIE
78;CZ;CZPOŁUDNIE
79;CZ;CZPOŁUDNIE
1;DE;DE0
2;DE;DE0
3;DE;DE0
4;DE;DE0
5;DE;DE0
